,s06,qmean01,lr13,Umean06
0,29.6875,5.65234375,6.7080078125,24.8984375
0,27.15625,9.416015625,8.6220703125,14.8984375
0,29.4609375,11.9638671875,6.4736328125,14.2734375
0,25.171875,6.2060546875,6.9140625,24.046875
0,22.578125,11.794921875,8.6943359375,16.0078125
0,23.1484375,12.4384765625,7.4189453125,14.859375
0,15.78125,13.3759765625,7.181640625,10.25
0,30.0625,9.79296875,9.52734375,18.3828125
0,41.3046875,13.5634765625,7.1455078125,22.6875
0,22.671875,6.0947265625,5.697265625,29.609375
0,17.40625,4.6083984375,7.49609375,25.8984375
0,9.421875,15.134765625,5.6279296875,18.265625
0,19.5625,7.20703125,5.5419921875,19.3515625
0,18.6875,13.9130859375,7.865234375,10.3984375
0,12.3125,12.0205078125,6.9365234375,4.7734375
0,14.1796875,12.3134765625,9.0322265625,11.21875
0,19.890625,10.6953125,5.9638671875,23.875
0,26.90625,8.7197265625,7.666015625,19.1953125
0,19.9609375,15.9482421875,7.2724609375,10.078125
0,14.265625,16.8857421875,6.7734375,4.8125
0,24.8046875,14.1171875,6.1845703125,11.6875
0,20.859375,14.130859375,7.01171875,6.1875
0,25.21875,10.2841796875,7.2607421875,10.9375
0,19.265625,10.4482421875,6.8515625,7.5625
0,20.7734375,13.85546875,5.1953125,2.5703125
0,21.265625,17.013671875,7.365234375,16.1953125
0,16.25,16.2109375,8.8779296875,7.2734375
0,33.96875,6.2646484375,9.4267578125,20.0
0,19.515625,13.18359375,8.7763671875,12.9921875
0,21.6171875,13.171875,8.4248046875,17.1875
0,31.640625,8.8447265625,8.4521484375,14.234375
0,8.0234375,14.16796875,7.5615234375,2.7265625
0,17.6328125,15.43359375,7.892578125,13.9140625
0,14.34375,6.798828125,9.8583984375,13.0078125
0,25.203125,9.7998046875,9.1982421875,12.3046875
0,30.46875,10.52734375,10.0068359375,21.1640625
